mean_line_slope_log,mean_line_slope_body,start_body_size,end_body_size,percent_change_body,taxon,n_users_sampled,replicate
-0.07255801331838345,-29.492586784254527,183.75567216752583,148.70153179783637,-19.076494323250827,Birds,75,4
-0.12185577301297938,-44.709157254456635,166.90861659340942,117.0661807578201,-29.86211068839294,Birds,75,5
-0.104653584040772,-35.52638784328709,176.65628045492792,139.73415986115347,-20.900542283972044,Birds,75,6
-0.07456100251934736,-37.92846012048858,181.82737453175065,140.5003213775139,-22.728730071950874,Birds,75,7
-0.1536720979924791,-44.25334353841221,162.78812823613455,117.24813103598532,-27.97501125763333,Birds,75,8
-0.005443017898947571,-13.339392176137704,145.58926161147375,132.0954055500223,-9.268441856283182,Birds,75,9
-0.13158840185987206,-38.45046980092171,177.18682981394778,133.65777763778578,-24.566753760349446,Birds,75,10
-0.17014768593542487,-49.54732334710109,178.05995154230584,123.56950912485749,-30.602301048308323,Birds,75,11
-0.06628048265337595,-27.482688320274754,180.09348387414087,151.25611148067148,-16.01244629906905,Birds,75,12
-0.1787311125487832,-62.053537381746956,185.42640900319086,117.89919031926942,-36.41726065177664,Birds,75,13
-0.0735369302577512,-16.661480687913386,159.22246130982361,143.3614813456156,-9.961521655757387,Birds,75,14
-0.06365208687749657,-15.493535355711499,151.56454781592475,135.49625169481027,-10.601619146866348,Birds,75,15
-0.10706503675184015,-31.77789905877614,171.80973300656055,138.58853348076235,-19.336040481786696,Birds,75,16
-0.11315119855449768,-38.92533608773269,188.96342996044442,144.7223289134018,-23.412520113708545,Birds,75,17
-0.09628109082166851,-36.63654213428777,185.6500186781511,143.84038912092885,-22.520670805697463,Birds,75,18
-0.15458157849543938,-58.681600290040826,191.22664529083423,126.01987971764534,-34.09920488539488,Birds,75,19
0.02449161203718685,-5.265601533498603,153.5756879920252,146.85262781812517,-4.3776852064300265,Birds,75,20
-0.16625870921353803,-54.72014193472076,173.1720390364281,116.07106336070711,-32.97355392559034,Birds,75,21
-0.12691665281573355,-43.891327607485984,173.72286012777002,127.81561687882842,-26.42556265489623,Birds,75,22
-0.04930803160821077,-32.94459209717835,164.6219618794673,128.09039389965344,-22.191187349936648,Birds,75,23
-0.08240621104319934,-18.03810854827731,146.44187227872692,127.6626639827487,-12.823660339602338,Birds,75,24
-0.08930549769296663,-26.767685549607542,164.6106421888776,136.3551334767266,-17.165055877572033,Birds,75,25
