taxon,sample_size,run,term,estimate,std.error,conf.low,conf.high,statistic,p.value
Birds,75,10,relative_time_first_species,-0.15337565393447056,0.061168426703299195,-0.2752564049504991,-0.031494902918442036,-2.5074317290916697,0.014354663568362553
Birds,75,11,(Intercept),2.138018154660946,0.03335003136440396,2.071566766155815,2.204469543166077,64.10843010309586,1.3575320976980006e-66
Birds,75,11,relative_time_first_species,-0.14313038442298956,0.050946726336452405,-0.24464395319727686,-0.04161681564870226,-2.809412786952313,0.006345302009586854
Birds,75,12,(Intercept),2.089719078734614,0.035024569483366026,2.019931101117166,2.159507056352062,59.66437588125301,2.501701749576114e-64
Birds,75,12,relative_time_first_species,-0.05146705759853095,0.05442428644574126,-0.15990981517114186,0.05697569997407995,-0.945663433729011,0.34739794859252826
Birds,75,13,(Intercept),2.03851485154286,0.03316584104531348,1.9724304711524892,2.1045992319332307,61.46428938007932,2.8953965823290807e-65
Birds,75,13,relative_time_first_species,-0.038152864388476364,0.052918125336704806,-0.14359453038903702,0.06728880161208428,-0.7209791379743561,0.4731939858949392
Birds,75,14,(Intercept),2.143150913759755,0.03356536975592331,2.0762704546459902,2.2100313728735195,63.85006121916924,1.820691639665568e-66
Birds,75,14,relative_time_first_species,-0.13071948815162243,0.0526056882760207,-0.23553860996747103,-0.025900366335773833,-2.4848926501206607,0.015219320369237519
Birds,75,15,(Intercept),2.1393154859974275,0.03551863125271305,2.0685430685190287,2.2100879034758263,60.23079748699546,1.2607647682741977e-64
Birds,75,15,relative_time_first_species,-0.17607814663727198,0.05496205431144752,-0.2855924290507674,-0.06656386422377653,-3.2036311022784743,0.002002590366987197
Birds,75,16,(Intercept),2.1816218426646437,0.03371725798059898,2.114438739438779,2.2488049458905084,64.70341817000529,6.933916344567791e-67
Birds,75,16,relative_time_first_species,-0.19596926627586173,0.056778507777170674,-0.30910291284807406,-0.08283561970364939,-3.451469120057721,9.248776735625619e-4
Birds,75,17,(Intercept),2.0868289047466333,0.033050110720659956,2.0209751217634357,2.152682687729831,63.141358961987855,4.097876578685293e-66
Birds,75,17,relative_time_first_species,-0.07612125196212999,0.04986894231042201,-0.17548728816106401,0.023244784236804053,-1.526426036636064,0.1311668385947306
Birds,75,18,(Intercept),2.1279385589701345,0.03152107523340942,2.065131445389326,2.190745672550943,67.50843818661099,3.1588286675698453e-68
Birds,75,18,relative_time_first_species,-0.11871807745541843,0.04496929199517964,-0.2083213477524664,-0.029114807158370448,-2.6399810223417366,0.010106443193101547
Birds,75,19,(Intercept),2.1272646527304273,0.03573106293510662,2.0560689555738145,2.19846034988704,59.5354427768881,2.926738827435078e-64
Birds,75,19,relative_time_first_species,-0.1159305534588679,0.05892838325175951,-0.23334792057058984,0.001486813652854066,-1.9673126439525455,0.05289578821661042
Birds,75,20,(Intercept),2.1156907715968463,0.018366843569488537,2.07968653173091,2.1516950114627824,115.19076555492012,0
Birds,75,20,relative_time_first_species,-0.0845193365280535,0.04101532392620714,-0.16858260725964042,-4.560657964666065e-4,-2.060677045489553,0.048852515210463916
Birds,75,21,(Intercept),2.1258521880021477,0.03344444890041573,2.0592126683211323,2.192491707683163,63.56367821554154,2.5245350053648005e-66
Birds,75,21,relative_time_first_species,-0.1604022234673681,0.04796060892097549,-0.25596582386966804,-0.06483862306506817,-3.3444576096117173,0.0012966517170750467
Birds,75,22,(Intercept),2.059566890409376,0.035463050868599764,1.9889052187370897,2.130228562081662,58.076415874106,1.767297940230425e-63
Birds,75,22,relative_time_first_species,-0.09902092117320688,0.05009353258253561,-0.19883446433949514,7.926219930813744e-4,-1.9767206676841371,0.05179971012681645
Birds,75,23,(Intercept),2.0509510362749706,0.03713377537089099,1.976960374098431,2.12494169845151,55.23141710720592,6.69197957990774e-62
Birds,75,23,relative_time_first_species,-0.054906746466379594,0.05854833893975669,-0.17156685757730014,0.06175336464454095,-0.9378019506732017,0.351396989170795
Birds,75,24,(Intercept),2.0668399126894568,0.03901816719928885,1.9890945167143694,2.1445853086645443,52.97121984569094,1.3668260664090605e-60
Birds,75,24,relative_time_first_species,-0.0929031091953526,0.055138615611571094,-0.2027692000364813,0.016962981645776087,-1.6849010111138238,0.0962209064532653
Birds,75,25,(Intercept),2.099734499148281,0.03413885326013495,2.0317113492447443,2.167757649051818,61.50571265966362,2.7572882892450145e-65
Birds,75,25,relative_time_first_species,-0.10560798298836327,0.05590315208123623,-0.216997445300943,0.005781479324216451,-1.8891239412564422,0.06279331657000416
Birds,75,26,(Intercept),2.1383301180453893,0.018381302992608317,2.1022975515368856,2.174362684553893,116.33180296877089,0
Birds,75,26,relative_time_first_species,-0.1317966949850062,0.04160771742372602,-0.2160704137247445,-0.0475229762452679,-3.1676021456022387,0.0030566922173136655
Birds,75,27,(Intercept),2.119969252202595,0.03137476901856359,2.05745366026358,2.18248484414161,67.56923854796405,2.9583083278662875e-68
Birds,75,27,relative_time_first_species,-0.1359362783002979,0.04786819603814802,-0.23131574127539611,-0.040556815325199655,-2.8398036598656233,0.00582557675639081
